character,meaning,sound
家 ,집,가
歌 ,노래,가
間 ,사이,간
江 ,강,강
車 ,수레,거/차
工 ,만들,공
空 ,빌,공
校,학교,교
敎,가르칠,교
九,아홉,구
口 ,입,구
國,나라,국
軍,군사,군
金,쇠/성씨,금/김
記 ,기록할,기
氣 ,기운,기
旗 ,기,기
南,남녘,남
男 ,사내,남
內 ,안,내
女 ,여자,녀
年 ,해,년
農 ,농사,농
答 ,답할,답
大 ,큰,대
道 ,길,도
東 ,동녘,동
冬 ,겨울,동
動 ,움직일,동
洞 ,마을/밝을,동/통
同 ,한가지,동
登 ,오를,등
來 ,올,래
力 ,힘,력
老 ,늙을,로
六 ,여섯,륙
里 ,마을,리
林 ,수풀,림
立 ,설,립
萬 ,일만,만
每 ,매양,매
面 ,낯,면
名 ,이름,명
命 ,목숨,명
母 ,어미,모
木 ,나무,목
門 ,문,문
文 ,글월,문
問 ,물을,문
物 ,물건,물
民 ,백성,민
方 ,모,방
白 ,흰,백
百 ,일백,백
父 ,아비,부
夫 ,남편,부
北 ,북녘/달아날,북/배
不 ,아닐,불/부
四 ,넉,사
事 ,일,사
山 ,뫼,산
算 ,셈,산
三 ,석,삼
上 ,위,상
色 ,빛,색
生 ,날,생
西 ,서녘,서
夕 ,저녁,석
先 ,먼저,선
姓 ,성씨,성
世 ,누리,세
小 ,작을,소
所 ,바,소
少 ,적을,소
水 ,물,수
手 ,손,수
數 ,셈/자주,수/삭
市 ,시장,시
時 ,때,시
食 ,밥/먹일,식/사
植 ,심을,식
室 ,집,실
心 ,마음,심
十 ,열,십
安 ,편안할,안
語 ,말씀,어
然 ,그러할,연
五 ,다섯,오
午 ,낮,오
王 ,임금,왕
外 ,바깥,외
右 ,오른,우
月 ,달,월
有 ,있을,유
育 ,기를,육
邑 ,고을,읍
二 ,두,이
人 ,사람,인
日 ,해,일
一 ,한,일
入 ,들,입
字 ,글자,자
自 ,스스로,자
子 ,아들,자
長 ,길,장
場 ,마당,장
電 ,번개,전
前 ,앞,전
全 ,온전할,전
正 ,바를,정
弟 ,아우,제
祖 ,할아버지,조
足 ,발/족할,족
左 ,왼,좌
住 ,살,주
主 ,주인,주
中 ,가운데,중
重 ,무거울,중
紙 ,종이,지
地 ,땅,지
直 ,곧을,직
千 ,일천,천
川 ,내,천
天 ,하늘,천
靑 ,푸를,청
草 ,풀,초
寸 ,마디,촌
村 ,마을,촌
秋 ,가을,추
春 ,봄,춘
出 ,날,출
七 ,일곱,칠
土 ,흙,토
八 ,여덟,팔
便 ,편할/똥오줌,편/변
平 ,평평할,평
夏 ,여름,하
下 ,아래,하
學 ,배울,학
韓 ,나라이름,한
漢 ,한나라,한
海 ,바다,해
兄 ,형,형
火 ,불,화
話 ,말씀,화
花 ,꽃,화
活 ,살,활
孝 ,효도,효
後 ,뒤,후
休 ,쉴,휴
